xs,acc_av,acc_std,time_av,time_std
0,100.0,0.0,52.87,1.08
10,63.13,1.86,72.44,2.42
20,59.04,1.81,74.87,1.89
30,54.2,1.35,176.39,1.81
40,49.58,0.28,184.01,1.22
