xs,acc_av,acc_std,time_av,time_std
0,100.0,0.0,7.08,1.16
10,100.0,0.0,1200.0,0.0
20,100.0,0.0,1200.0,0.0
30,100.0,0.0,1200.0,0.0
40,89.14,5.14,1200.0,0.0
