timeout,acc_av,acc_std,time_av,time_std
0,50,0,0,0
30,50,0,30,0
60,50,0,60,0
90,50,0,90,0
120,50,0,120,0
150,50,0,150,0
180,52,2,178,2
210,55,2,203,5
240,58,2,218,7
