timeout,acc_av,acc_std,time_av,time_std
0,50,0,0,0
30,57,1,30,0
60,58,1,60,0
90,58,1,90,0
120,58,1,102,3
150,58,1,102,3
180,58,1,101,2
210,58,2,100,2
240,58,2,96,3
