timeout,acc_av,acc_std,time_av,time_std
0,50,0,0,0
5,55,1,5,0
10,56,1,10,0
15,56,1,15,0
20,60,1,20,0
25,62,1,25,0
30,63,1,30,0
35,63,1,35,0
40,63,1,40,0
45,63,1,45,0
