xs,acc_av,acc_std,time_av,time_std
0,100.0,0.0,3.67,0.71
10,54.17,0.59,1200.0,0.0
20,53.71,0.59,1200.0,0.0
30,49.97,0.5,1200.0,0.0
40,50.63,0.53,1200.0,0.0
