timeout,acc_av,acc_std,time_av,time_std
0,50,0,0,0
5,50,0,5,0
10,50,0,10,0
15,50,0,15,0
20,50,0,20,0
25,50,0,25,0
30,50,0,30,0
35,50,0,35,0
40,50,0,40,0
45,50,0,45,0
