xs,acc_av,acc_std,time_av,time_std
0,100.0,0.0,25.82,2.43
10,73.51,2.88,884.39,41.69
20,50.0,0.0,1200.0,0.0
30,52.55,1.67,1177.87,8.93
40,50.0,0.0,1200.0,0.0
