timeout,acc_av,acc_std,time_av,time_std
0,50,0,0,0
30,83,1,30,0
60,97,2,53,3
90,97,2,65,6
120,97,2,71,8
150,97,2,80,13
180,97,2,80,13
210,97,2,93,19
240,97,2,80,13
