xs,acc_av,acc_std,time_av,time_std
0,54.98,4.98,898.62,160.52
10,50.0,0.0,402.72,174.83
20,50.0,0.0,381.27,178.73
30,49.84,0.16,138.71,50.57
40,50.01,0.0,404.4,175.84
